ID;INSEE_COM;INSEE_DEP;INSEE_REG;CODE_EPCI;NOM_COM_M;POPULATION;Nb_Ventes;PrixMoyen_M2;nb_digits_code_INSEE;code_commune_n
COMMUNE_0000000009754220;26333;26;84;200040491.0;SAINT VALLIER;3896;17.0;1006.0;5;26333
COMMUNE_0000000009757575;26150;26;84;200068229.0;IZON LA BRUISSE;10;;;5;26150
COMMUNE_0000000009756708;46039;46;76;200067361.0;BRENGUES;208;;;5;46039
COMMUNE_0000000009731463;76410;76;28;200023414.0;MAROMME;10942;72.0;1580.0;5;76410
COMMUNE_0000000009745361;21059;21;27;200069540.0;BELLEFOND;861;2.0;2676.0;5;21059
COMMUNE_0000000009740397;88518;88;44;200068682.0;VIVIERS LES OFFROICOURT;35;;;5;88518
COMMUNE_0000000009730549;8023;8;44;240800847.0;ARTAISE LE VIVIER;63;;;5;08023
COMMUNE_0000000009732731;14250;14;28;241400555.0;ESQUAY SUR SEULLES;299;;;5;14250
COMMUNE_0000000009746290;18145;18;24;200066330.0;MENETOU SALON;1622;22.0;945.0;5;18145
COMMUNE_0000000009760735;32420;32;76;243200599.0;SAUVIMONT;65;;;5;32420
COMMUNE_0000000009752417;16056;16;75;200070514.0;BOURG CHARENTE;894;7.0;1241.0;5;16056
COMMUNE_0000000009732215;27384;27;28;200066827.0;MANNEVILLE LA RAOULT;506;;;5;27384
COMMUNE_0000000009730846;57588;57;44;245700695.0;RODEMACK;1204;;;5;57588
COMMUNE_0000000009731369;60378;60;32;246000772.0;MAREST SUR MATZ;410;2.0;1776.0;5;60378
COMMUNE_0000000009746727;21575;21;27;242101509.0;SAINT SYMPHORIEN SUR SAONE;351;2.0;1464.0;5;21575
COMMUNE_0000000009745275;25465;25;27;242504447.0;PONT LES MOULINS;187;;;5;25465
COMMUNE_0000000009759012;30353;30;76;243000270.0;VISSEC;56;1.0;631.0;5;30353
COMMUNE_0000000009729072;76059;76;28;200069722.0;BAZINVAL;416;4.0;1118.0;5;76059
COMMUNE_0000000009757767;84015;84;93;248400053.0;BEAUMONT DU VENTOUX;282;;;5;84015
COMMUNE_0000000009739613;88137;88;44;200068559.0;DOLAINCOURT;96;;;5;88137
COMMUNE_0000000009727785;59072;59;32;200043396.0;BERSILLIES;254;3.0;1197.0;5;59072
COMMUNE_0000000009734602;27299;27;28;200071454.0;GRAVIGNY;3915;9.0;1788.0;5;27299
COMMUNE_0000000009735491;77005;77;11;200033090.0;ANNET SUR MARNE;3259;53.0;2994.0;5;77005
COMMUNE_0000000009733053;60659;60;32;246000707.0;VAUDANCOURT;173;4.0;2505.0;5;60659
COMMUNE_0000000009755382;24197;24;75;200070647.0;GINESTET;725;11.0;1572.0;5;24197
COMMUNE_0000000009743065;90078;90;27;200069060.0;PETITEFONTAINE;191;;;5;90078
COMMUNE_0000000009747237;21037;21;27;200006682.0;AUXEY DURESSES;307;1.0;920.0;5;21037
COMMUNE_0000000009737289;57504;57;44;200068146.0;NIDERHOFF;281;;;5;57504
COMMUNE_0000000009750099;86189;86;75;200070035.0;PAYROUX;490;3.0;532.0;5;86189
COMMUNE_0000000009761797;65251;65;76;200069300.0;LALOUBERE;1897;10.0;1450.0;5;65251
COMMUNE_0000000009733048;60228;60;32;246000707.0;FAY LES ETANGS;469;10.0;2390.0;5;60228
COMMUNE_0000000009761857;64026;64;75;200067106.0;ANHAUX;393;;;5;64026
COMMUNE_0000000009749806;3142;3;84;200071470.0;LENAX;260;;;5;03142
COMMUNE_0000000009742572;45256;45;24;200067676.0;PRESNOY;247;4.0;1470.0;5;45256
COMMUNE_0000000009730774;76715;76;28;200010700.0;TROUVILLE;638;5.0;1491.0;5;76715
COMMUNE_0000000009739071;67424;67;44;246700306.0;SAINT BLAISE LA ROCHE;233;;;5;67424
COMMUNE_0000000009728789;2057;2;32;240200493.0;BEAUREVOIR;1433;2.0;592.0;5;02057
COMMUNE_0000000009737527;28332;28;24;200040277.0;SAINTE GEMME MORONVAL;1095;14.0;1952.0;5;28332
COMMUNE_0000000009730376;60136;60;32;246000848.0;CEMPUIS;527;6.0;1567.0;5;60136
COMMUNE_0000000009729749;80755;80;32;200071181.0;THIEULLOY LA VILLE;143;3.0;733.0;5;80755
COMMUNE_0000000009750011;71451;71;27;200070548.0;SAINT MARTIN DE LIXY;91;;;5;71451
COMMUNE_0000000009735137;27514;27;28;200066413.0;SAINT AUBIN DU THENNEY;373;;;5;27514
COMMUNE_0000000009750328;23100;23;75;200067544.0;JARNAGES;470;3.0;663.0;5;23100
COMMUNE_0000000009755915;38204;38;84;200030658.0;LALLEY;197;2.0;1897.0;5;38204
COMMUNE_0000000009740421;88249;88;44;200068559.0;JAINVILLOTTE;78;;;5;88249
COMMUNE_0000000009763426;66009;66;76;246600548.0;ARLES SUR TECH;2700;14.0;1622.0;5;66009
COMMUNE_0000000009748763;18192;18;24;200049484.0;REIGNY;264;5.0;1487.0;5;18192
COMMUNE_0000000009742115;88302;88;44;200033868.0;MENIL;1073;24.0;1621.0;5;88302
COMMUNE_0000000009761971;31278;31;76;200072643.0;LATOUE;324;3.0;1227.0;5;31278
COMMUNE_0000000009736341;57183;57;44;245701206.0;DONNELAY;190;;;5;57183
